Name	Mana Cost	Type	Rules Text	Flavor Text	Power	Toughness	Loyalty	Name 2	Mana Cost 2	Type 2	Rules Text 2	Flavor Text 2	Power 2	Toughness 2	Loyalty 2	
The Vidalian	5	Legendary Enchantment — Landmark 	​				3	
Timely Ward	2W	Enchantment — Aura 	You may cast this enchantment as though it had flash if it targets a commander.\n Enchant creature\n Enchanted creature has indestructible.					
Tocasia's Welcome	2W	Enchantment	Whenever one or more creatures you control with mana value 3 or less enter, draw a card. This ability triggers only once each turn.					
Veteran Soldier	1W	Legendary Enchantment — Background 	Commander creatures you own have “Whenever this creature attacks a player, if no opponent has more life than that player, for each opponent, create a 1/1 white Soldier creature token that’s tapped and attacking that opponent.”					
Dreadmaw's Ire	R	Instant	Until end of turn, target attacking creature gets +2/+2 and gains trample and “Whenever this creature deals combat damage to a player, destroy target artifact that player controls.”					
Fall of the Hammer	1R	Instant	Target creature you control deals damage equal to its power to another target creature.					
Fight as One	W	Instant	Choose one or both —\n • Target Human creature you control gets +1/+1 and gains indestructible until end of turn.\n • Target non-Human creature you control gets +1/+1 and gains indestructible until end of turn.					
Monstrous Rage	R	Instant	Target creature gets +2/+0 until end of turn. Create a Monster Role token attached to it. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 and has trample.)					
Path to Exile	W	Instant	Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle.					
Sazacap's Brew	1R	Instant	Gift a tapped Fish (You may promise an opponent a gift as you cast this spell. If you do, they create a tapped 1/1 blue Fish creature token before its other effects.)\n As an additional cost to cast this spell, discard a card.\n Target player draws two cards. If the gift was promised, target creature you control gets +2/+0 until end of turn.					
Swords to Plowshares	W	Instant	Exile target creature. Its controller gains life equal to its power.					
Unwanted Remake	W	Instant	Destroy target creature. Its controller manifests dread. (That player looks at the top two cards of their library, then puts one onto the battlefield face down as a 2/2 creature and the other into their graveyard. If it’s a creature card, it can be turned face up any time for its mana cost.)					
Violent Urge	R	Instant	Target creature gets +1/+0 and gains first strike until end of turn.\n Delirium — If there are four or more card types among cards in your graveyard, that creature gains double strike until end of turn.					
Wear	1R	Instant	Destroy target artifact.					Tear	W	Instant	Destroy target enchantment.					
Furycalm Snarl		Land	As this land enters, you may reveal a Mountain or Plains card from your hand. If you don’t, this land enters tapped.\n T: Add R or W.					
Rugged Prairie		Land	T: Add C.\n R/W, T: Add RR, RW, or WW.					
Sunbaked Canyon		Land	T, Pay 1 life: Add R or W.\n 1, T, Sacrifice this land: Draw a card.	Since the river ran dry, travelers wander where fish once swam.				
Sunscorched Divide		Land	1, T: Add RW.					
Expel the Interlopers	3WW	Sorcery	Choose a number between 0 and 10. Destroy all creatures with power greater than or equal to the chosen number.					
Fell the Mighty	4W	Sorcery	Destroy all creatures with power greater than target creature’s power.					
Rip Apart	RW	Sorcery	Choose one —\n • Rip Apart deals 3 damage to target creature or planeswalker.\n • Destroy target artifact or enchantment.					
Sevinne's Reclamation	2W	Sorcery	Return target permanent card with mana value 3 or less from your graveyard to the battlefield. If this spell was cast from a graveyard, you may copy this spell and may choose a new target for the copy.\n Flashback 4W (You may cast this card from your graveyard for its flashback cost. Then exile it.)					
Split Up	1WW	Sorcery	Choose one —\n • Destroy all tapped creatures.\n • Destroy all untapped creatures.					
Fraying Line	4	Artifact	When this artifact enters, put a rope counter on target creature you control.\n At the beginning of each player’s upkeep, that player may pay 2. If they do, they put a rope counter on a creature they control. Otherwise, exile this artifact and each creature without a rope counter on it, then remove all rope counters from all creatures.					
Ghirapur Orrery	4	Artifact	Each player may play an additional land on each of their turns.\n At the beginning of each player’s upkeep, if that player has no cards in hand, that player draws three cards.					
Lifecrafter's Bestiary	3	Artifact	At the beginning of your upkeep, scry 1.\n Whenever you cast a creature spell, you may pay G. If you do, draw a card.					
Lotus Blossom	2	Artifact	At the beginning of your upkeep, you may put a petal counter on this artifact.\n T, Sacrifice this artifact: Add X mana of any one color, where X is the number of petal counters on this artifact.					
Replicating Ring	3	Snow Artifact	T: Add one mana of any color.\n At the beginning of your upkeep, put a night counter on this artifact. Then if it has eight or more night counters on it, remove all of them and create eight colorless snow artifact tokens named Replicated Ring with “T: Add one mana of any color.”					
Simic Signet	2	Artifact	1, T: Add GU.					
Strionic Resonator	2	Artifact	2, T: Copy target triggered ability you control. You may choose new targets for the copy. (A triggered ability uses the words “when,” “whenever,” or “at.”)					
Talisman of Curiosity	2	Artifact	T: Add C.\n T: Add G or U. This artifact deals 1 damage to you.					
Elvish Archivist	1G	Creature — Elf Artificer 	Whenever one or more artifacts you control enter, put two +1/+1 counters on this creature. This ability triggers only once each turn.\n Whenever one or more enchantments you control enter, draw a card. This ability triggers only once each turn.		0	1		
Elvish Mystic	G	Creature — Elf Druid 	T: Add G.		1	1		
Fyndhorn Elves	G	Creature — Elf Druid 	T: Add G.		1	1		
Hulking Raptor	2GG	Creature — Dinosaur 	Ward 2\n At the beginning of your first main phase, add GG.		5	3		
Jin-Gitaxias	3UU	Legendary Creature — Praetor Phyrexian 	Ward 2\n Whenever you cast a noncreature spell with mana value 3 or greater, draw a card.\n 3U: Exile this creature, then return it to the battlefield transformed under its owner’s control. Activate only as a sorcery and only if you have seven or more cards in hand.		5	5		The Great Synthesis		Enchantment — Saga 	(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)					
Llanowar Elves	G	Creature — Elf Druid 	T: Add G.		1	1		
Progenitor Mimic	4GU	Creature — Shapeshifter 	You may have this creature enter as a copy of any creature on the battlefield, except it has “At the beginning of your upkeep, if this creature isn’t a token, create a token that’s a copy of this creature.”		0	0		
Shizuko, Caller of Autumn	1GG	Legendary Creature — Snake Shaman 	At the beginning of each player’s upkeep, that player adds GGG. Until end of turn, they don’t lose this mana as steps and phases end.		2	3		
Verduran Enchantress	1GG	Creature — Human Druid 	Whenever you cast an enchantment spell, you may draw a card.		0	2		
Abundance	2GG	Enchantment	If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.					
As Foretold	2U	Enchantment	At the beginning of your upkeep, put a time counter on this enchantment.\n Once each turn, you may pay 0 rather than pay the mana cost for a spell you cast with mana value X or less, where X is the number of time counters on this enchantment.					
Bounty of the Luxa	2GU		At the beginning of your first main phase, remove all flood counters from Bounty of the Luxa. If no counters were removed this way, put a flood counter on Bounty of the Luxa and draw a card. Otherwise, add CGU.					
City of Death	2G	Enchantment — Saga 	(As this Saga enters and after your draw step, add a lore counter. Sacrifice after VI.)\n Create a Treasure token.\n Create a token that’s a copy of target non-Saga token you control.\n ​					
Court of Bounty	2GG	Enchantment	When this enchantment enters, you become the monarch.\n At the beginning of your upkeep, you may put a land card from your hand onto the battlefield. If you’re the monarch, instead you may put a creature or land card from your hand onto the battlefield.					
Elemental Resonance	2GG	Enchantment — Aura 	Enchant permanent\n At the beginning of your first main phase, add mana equal to enchanted permanent’s mana cost. (Mana cost includes color. If a mana symbol has multiple colors, choose one.)					
Endless Evil	2U	Enchantment — Aura 	Enchant creature you control\n At the beginning of your upkeep, create a token that’s a copy of enchanted creature, except the token is 1/1.\n When enchanted creature dies, if that creature was a Horror, return Endless Evil to its owner’s hand.					
Extravagant Replication	4UU	Enchantment	At the beginning of your upkeep, create a token that’s a copy of another target nonland permanent you control.					
Freed from the Real	2U	Enchantment — Aura 	Enchant creature\n U: Tap enchanted creature.\n U: Untap enchanted creature.					
Frontier Siege	3G	Enchantment	As this enchantment enters, choose Khans or Dragons.\n • Khans — At the beginning of each of your main phases, add GG.\n • Dragons — Whenever a creature you control with flying enters, you may have it fight target creature you don’t control.					
Hibernation's End	4G	Enchantment	Cumulative upkeep 1 (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)\n Whenever you pay this enchantment’s cumulative upkeep, you may search your library for a creature card with mana value equal to the number of age counters on this enchantment, put it onto the battlefield, then shuffle.					
In Search of Greatness	GG	Enchantment	At the beginning of your upkeep, you may cast a permanent spell from your hand with mana value equal to 1 plus the greatest mana value among other permanents you control without paying its mana cost. If you don’t, scry 1.					
Into the Wilds	3G	Enchantment	At the beginning of your upkeep, look at the top card of your library. If it’s a land card, you may put it onto the battlefield.					
Journey to the Lost City	3G	Enchantment	At the beginning of your upkeep, exile the top four cards of your library, then roll a d20.\n 1—9 | You may put a land card from among those cards onto the battlefield.\n 10—19 | Create a 2/2 green Wolf creature token, then put a +1/+1 counter on it for each creature card among those cards.\n 20 | Put all permanent cards exiled with this enchantment onto the battlefield, then sacrifice it.					
Mana Bloom	XG	Enchantment	This enchantment enters with X charge counters on it.\n Remove a charge counter from this enchantment: Add one mana of any color. Activate only once each turn.\n At the beginning of your upkeep, if this enchantment has no charge counters on it, return it to its owner’s hand.					
Mechanized Production	2UU	Enchantment — Aura 	Enchant artifact you control\n At the beginning of your upkeep, create a token that’s a copy of enchanted artifact. Then if you control eight or more artifacts with the same name as one another, you win the game.					
Mind Unbound	4UU	Enchantment	At the beginning of your upkeep, put a lore counter on this enchantment, then draw a card for each lore counter on this enchantment.					
Netherese Puzzle-Ward	3U	Enchantment	Focus Beam — At the beginning of your upkeep, roll a d4. Scry X, where X is the result.\n Perfect Illumination — Whenever you roll a die’s highest natural result, draw a card.					
On the Trail	1G	Enchantment	Whenever you draw your second card each turn, you may put a land card from your hand onto the battlefield tapped.					
Sanctum of Calm Waters	3U	Legendary Enchantment — Shrine 	At the beginning of your first main phase, you may draw X cards, where X is the number of Shrines you control. If you do, discard a card.					
Sanctum of Fruitful Harvest	2G	Legendary Enchantment — Shrine 	At the beginning of your first main phase, add X mana of any one color, where X is the number of Shrines you control.					
Search for Azcanta	1U	Legendary Enchantment	At the beginning of your upkeep, surveil 1. Then if you have seven or more cards in your graveyard, you may transform this enchantment.					Azcanta, the Sunken Ruin		Legendary Land	(Transforms from Search for Azcanta.)\n T: Add U.\n 2U, T: Look at the top four cards of your library. You may reveal a noncreature, nonland card from among them and put it into your hand. Put the rest on the bottom of your library in any order.					
The World Spell	5GG	Enchantment — Saga 	Read ahead (Choose a chapter and start with that many lore counters. Add one after your draw step. Skipped chapters don’t trigger. Sacrifice after III.)\n I, II — Look at the top seven cards of your library. You may reveal a non-Saga permanent card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.\n III — Put up to two non-Saga permanent cards from your hand onto the battlefield.\n ​					
Utopia Sprawl	G	Enchantment — Aura 	Enchant Forest\n As this Aura enters, choose a color.\n Whenever enchanted Forest is tapped for mana, its controller adds an additional one mana of the chosen color.					
Growth Spiral	GU	Instant	Draw a card. You may put a land card from your hand onto the battlefield.					
Mana Leak	1U	Instant	Counter target spell unless its controller pays 3.					
Miscast	U	Instant	Counter target instant or sorcery spell unless its controller pays 3.					
Muddle the Mixture	UU	Instant	Counter target instant or sorcery spell.\n Transmute 1UU (1UU, Discard this card: Search your library for a card with the same mana value as this card, reveal it, put it into your hand, then shuffle. Transmute only as a sorcery.)					
Pongify	U	Instant	Destroy target creature. It can’t be regenerated. Its controller creates a 3/3 green Ape creature token.					
Rapid Hybridization	U	Instant	Destroy target creature. It can’t be regenerated. That creature’s controller creates a 3/3 green Frog Lizard creature token.					
Reality Shift	1U	Instant	Exile target creature. Its controller manifests the top card of their library. (That player puts the top card of their library onto the battlefield face down as a 2/2 creature. If it’s a creature card, it can be turned face up any time for its mana cost.)					
Suspend	U	Instant	Exile target creature and put two time counters on it. If it doesn’t have suspend, it gains suspend. (At the beginning of its owner’s upkeep, they remove a time counter. When the last is removed, they may play it without paying its mana cost. If it’s a creature, it has haste.)					
Botanical Sanctum		Land	This land enters tapped unless you control two or fewer other lands.\n T: Add G or U.					
Evolving Wilds		Land	T, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.					
Flooded Grove		Land	T: Add C.\n G/U, T: Add GG, GU, or UU.					
Hedge Maze		Land — Forest Island 	(T: Add G or U.)\n This land enters tapped.\n When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)					
Hinterland Harbor		Land	This land enters tapped unless you control a Forest or an Island.\n T: Add G or U.					
Overflowing Basin		Land	1, T: Add GU.					
Path of Ancestry		Land	This land enters tapped.\n T: Add one mana of any color in your commander’s color identity. When that mana is spent to cast a creature spell that shares a creature type with your commander, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)					
Temple of Mystery		Land	This land enters tapped.\n When this land enters, scry 1.\n T: Add G or U.					
Vineglimmer Snarl		Land	As this land enters, you may reveal a Forest or Island card from your hand. If you don’t, this land enters tapped.\n T: Add G or U.					
Yavimaya Coast		Land	T: Add C.\n T: Add G or U. This land deals 1 damage to you.					
Make Your Own Luck	3GU	Sorcery	Look at the top three cards of your library. You may exile a nonland card from among them. If you do, it becomes plotted. Put the rest into your hand. (You may cast it as a sorcery on a later turn without paying its mana cost.)					
River's Rebuke	4UU	Sorcery	Return all nonland permanents target player controls to their owner’s hand.					
Wash Out	3U	Sorcery	Return all permanents of the color of your choice to their owners’ hands.					
Selesnya Signet	2	Artifact	1, T: Add GW.					
Symmetry Matrix	4	Artifact	Whenever a creature you control with power equal to its toughness enters, you may pay 1. If you do, draw a card.					
Talisman of Unity	2	Artifact	T: Add C.\n T: Add G or W. This artifact deals 1 damage to you.					
Arbor Elf	G	Creature — Elf Druid 	T: Untap target Forest.		1	1		
Avacyn's Pilgrim	G	Creature — Human Monk 	T: Add W.		1	1		
Beast Whisperer	2GG	Creature — Elf Druid 	Whenever you cast a creature spell, draw a card.		2	3		
Benevolent Bodyguard	W	Creature — Human Cleric 	Sacrifice this creature: Target creature you control gains protection from the color of your choice until end of turn.		1	1		
Bess, Soul Nourisher	1GW	Legendary Creature — Human Citizen 	Whenever one or more other creatures you control with base power and toughness 1/1 enter, put a +1/+1 counter on Bess.\n Whenever Bess attacks, each other creature you control with base power and toughness 1/1 gets +X/+X until end of turn, where X is the number of +1/+1 counters on Bess.		1	1		
Caustic Caterpillar	G	Creature — Insect 	1G, Sacrifice this creature: Destroy target artifact or enchantment.		1	1		
Champion of Lambholt	1GG	Creature — Human Warrior 	Creatures with power less than this creature’s power can’t block creatures you control.\n Whenever another creature you control enters, put a +1/+1 counter on this creature.		1	1		
Cultivator of Blades	3GG	Creature — Elf Artificer 	Fabricate 2 (When this creature enters, put two +1/+1 counters on it or create two 1/1 colorless Servo artifact creature tokens.)\n Whenever this creature attacks, you may have other attacking creatures get +X/+X until end of turn, where X is this creature’s power.		1	1		
Elvish Visionary	1G	Creature — Elf Shaman 	When this creature enters, draw a card.		1	1		
Enduring Vitality	1GG	Enchantment Creature — Elk Glimmer 	Vigilance\n Creatures you control have “T: Add one mana of any color.”\n When this creature dies, if it was a creature, return it to the battlefield under its owner’s control. It’s an enchantment. (It’s not a creature.)		3	3		
Gala Greeters	1G	Creature — Elf Druid 	Alliance — Whenever another creature you control enters, choose one that hasn’t been chosen this turn —\n • Put a +1/+1 counter on this creature.\n • Create a tapped Treasure token.\n • You gain 2 life.		1	1		
Guide of Souls	W	Creature — Human Cleric 	Whenever another creature you control enters, you gain 1 life and get E (an energy counter).\n Whenever you attack, you may pay EEE. When you do, put two +1/+1 counters and a flying counter on target attacking creature. It becomes an Angel in addition to its other types.		1	2		
Haywire Mite	1	Artifact Creature — Insect 	When Haywire Mite dies, you gain 2 life.\n G, Sacrifice Haywire Mite: Exile target noncreature artifact or noncreature enchantment.		1	1		
Heronblade Elite	2G	Creature — Human Warrior 	Vigilance\n Whenever another Human you control enters, put a +1/+1 counter on this creature.\n T: Add X mana of any one color, where X is this creature’s power.		1	1		
Hydra Trainer	1G	Creature — Human Warrior 	You may exert this creature as it attacks. When you do, target creature gets +X/+X until end of turn, where X is the number of counters on permanents you control. (An exerted creature won’t untap during your next untap step.)\n 2G: Adapt 2. (If this creature has no +1/+1 counters on it, put two +1/+1 counters on it.)		1	1		
Ilysian Caryatid	1G	Creature — Plant 	T: Add one mana of any color. If you control a creature with power 4 or greater, add two mana of any one color instead.		1	1		
Indebted Spirit	W	Enchantment Creature — Spirit 	Bestow 2W (If you cast this card for its bestow cost, it’s an Aura spell with enchant creature. It becomes a creature again if it’s not attached.)\n Afterlife 1 (Whenever this creature dies, create a 1/1 white and black Spirit creature token with flying.)\n Enchanted creature gets +1/+1 and has afterlife 1.		1	1		
Kami of Whispered Hopes	2G	Creature — Spirit 	If one or more +1/+1 counters would be put on a permanent you control, that many plus one +1/+1 counters are put on that permanent instead.\n T: Add X mana of any one color, where X is this creature’s power.					
Katilda, Dawnhart Prime	GW	Legendary Creature — Human Warlock 	Protection from Werewolves\n Human creatures you control have “T: Add one mana of any of this creature’s colors.”\n 4GW, T: Put a +1/+1 counter on each creature you control.		1	1		
Kutzil, Malamet Exemplar	1GW	Legendary Creature — Warrior Cat 	Your opponents can’t cast spells during your turn.\n Whenever one or more creatures you control each with power greater than its base power deals combat damage to a player, draw a card.		3	3		
Luminarch Aspirant	1W	Creature — Human Cleric 	At the beginning of combat on your turn, put a +1/+1 counter on target creature you control.		1	1		
Managorger Hydra	2G	Creature — Hydra 	Trample\n Whenever a player casts a spell, put a +1/+1 counter on this creature.		1	1		
Mentor of the Meek	2W	Creature — Human Soldier 	Whenever another creature you control with power 2 or less enters, you may pay 1. If you do, draw a card.		2	2		
Mirror Entity	2W	Creature — Shapeshifter 	Changeling (This card is every creature type.)\n X: Until end of turn, creatures you control have base power and toughness X/X and gain all creature types.		1	1		
Ollenbock Escort	W	Creature — Human Cleric 	Vigilance\n Sacrifice this creature: Target creature you control with a +1/+1 counter on it gains lifelink and indestructible until end of turn.		1	1		
Resolute Reinforcements	1W	Creature — Human Soldier 	Flash (You may cast this spell any time you could cast an instant.)\n When this creature enters, create a 1/1 white Soldier creature token.		1	1		
Selfless Savior	W	Creature — Dog 	Sacrifice this creature: Another target creature you control gains indestructible until end of turn. (Damage and effects that say “destroy” don’t destroy it.)		1	1		
Spirited Companion	1W	Enchantment Creature — Dog 	When this creature enters, draw a card.		1	1		
Springheart Nantuko	1G	Enchantment Creature — Monk Insect 	Bestow 1G\n Enchanted creature gets +1/+1.\n Landfall — Whenever a land you control enters, you may pay 1G if this card is attached to a creature you control. If you do, create a token that’s a copy of that creature. If you didn’t create a token this way, create a 1/1 green Insect creature token.		1	1		
Torens, Fist of the Angels	1GW	Legendary Creature — Human Cleric 	Training (Whenever this creature attacks with another creature with greater power, put a +1/+1 counter on this creature.)\n Whenever you cast a creature spell, create a 1/1 green and white Human Soldier creature token with training.		2	2		
Wildwood Mentor	2G	Creature — Treefolk 	Whenever a token you control enters, put a +1/+1 counter on this creature.\n Whenever this creature attacks, another target attacking creature gets +X/+X until end of turn, where X is this creature’s power.		1	1		
Wood Elves	2G	Creature — Elf Scout 	When this creature enters, search your library for a Forest card, put that card onto the battlefield, then shuffle.		1	1		
Wyrm's Crossing Patrol	W	Creature — Human Soldier 	Myriad (Whenever this creature attacks, for each opponent other than defending player, you may create a token that’s a copy of this creature that’s tapped and attacking that player or a planeswalker they control. Exile the tokens at end of combat.)		1	1		
Assemble the Players	1W	Enchantment	You may look at the top card of your library any time.\n Once each turn, you may cast a creature spell with power 2 or less from the top of your library.					
Guardian Project	3G	Enchantment	Whenever a nontoken creature you control enters, if it doesn’t have the same name as another creature you control or a creature card in your graveyard, draw a card.	Simic’s strength comes from its diversity.				
Mirari's Wake	3GW	Enchantment	Creatures you control get +1/+1.\n Whenever you tap a land for mana, add one mana of any type that land produced.					
Wild Pair	4GG	Enchantment	Whenever a creature enters, if you cast it from your hand, you may search your library for a creature card with the same total power and toughness, put it onto the battlefield, then shuffle.					
Cosmic Rebirth	1GW	Instant	Choose target permanent card in your graveyard. If it has mana value 3 or less, you may put it onto the battlefield. If you don’t put it onto the battlefield, put it into your hand.\n You gain 3 life.					
Rite of Harmony	GW	Instant	Whenever a creature or enchantment you control enters this turn, draw a card.\n Flashback 2GW (You may cast this card from your graveyard for its flashback cost. Then exile it.)					
Snakeskin Veil	G	Instant	Put a +1/+1 counter on target creature you control. It gains hexproof until end of turn. (It can’t be the target of spells or abilities your opponents control.)					
Your Temple Is Under Attack	2W	Instant	Choose one —\n • Pray for Protection — Creatures you control gain indestructible until end of turn.\n • Strike a Deal — You and target opponent each draw two cards.					
Branchloft Pathway		Land	T: Add G,					Boulderloft Pathway		Land	T: Add W.					
Brushland		Land	T: Add C.\n T: Add G or W. This land deals 1 damage to you.					
Canopy Vista		Land — Forest Plains 	(T: Add G or W.)\n This land enters tapped unless you control two or more basic lands.					
Castle Ardenvale		Land	This land enters tapped unless you control a Plains.\n T: Add W.\n 2WW, T: Create a 1/1 white Human creature token.					
Fortified Village		Land	As this land enters, you may reveal a Forest or Plains card from your hand. If you don’t, this land enters tapped.\n T: Add G or W.					
Razorverge Thicket		Land	This land enters tapped unless you control two or fewer other lands.\n T: Add G or W.					
Sungrass Prairie		Land	1, T: Add GW.					
Windbrisk Heights		Land	Hideaway 4 (When this land enters, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.)\n This land enters tapped.\n T: Add W.\n W, T: You may play the exiled card without paying its mana cost if you attacked with three or more creatures this turn.					
Basri Ket	1WW	Legendary Planeswalker — Basri 	[+1]: Put a +1/+1 counter on up to one target creature. It gains indestructible until end of turn.\n [-2]: Whenever one or more nontoken creatures attack this turn, create that many 1/1 white Soldier creature tokens that are tapped and attacking.\n [-6]: You get an emblem with “At the beginning of combat on your turn, create a 1/1 white Soldier creature token, then put a +1/+1 counter on each creature you control.”				3	
Elspeth, Sun's Champion	4WW	Legendary Planeswalker — Elspeth 	[+1]: Create three 1/1 white Soldier creature tokens.\n [-3]: Destroy all creatures with power 4 or greater.\n [-7]: You get an emblem with “Creatures you control get +2/+2 and have flying.”				4	
Vivien, Champion of the Wilds	2G	Legendary Planeswalker — Vivien 	You may cast creature spells as though they had flash.\n [+1]: Until your next turn, up to one target creature gains vigilance and reach.\n [-2]: Look at the top three cards of your library. Exile one face down and put the rest on the bottom of your library in any order. For as long as it remains exiled, you may cast it if it’s a creature spell.				4	
Chatterstorm	1G	Sorcery	Create a 1/1 green Squirrel creature token.\n Storm (When you cast this spell, copy it for each spell cast before it this turn.)					
Citywide Bust	1WW	Sorcery	Destroy all creatures with toughness 4 or greater.					
Harvest Season	2G	Sorcery	Search your library for up to X basic land cards, where X is the number of tapped creatures you control, put those cards onto the battlefield tapped, then shuffle.					
Return from the Wilds	2G	Sorcery	Choose two —\n • Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.\n • Create a 1/1 white Human creature token.\n • Create a Food token.					
Sram's Expertise	2WW	Sorcery	Create three 1/1 colorless Servo artifact creature tokens.\n You may cast a spell with mana value 3 or less from your hand without paying its mana cost.					
Dawn of a New Age	1W	Enchantment	This enchantment enters with a hope counter on it for each creature you control.\n At the beginning of your end step, remove a hope counter from this enchantment. If you do, draw a card. Then if this enchantment has no hope counters on it, sacrifice it and you gain 4 life.					
Blood Fountain	B	Artifact	When this artifact enters, create a Blood token. (It’s an artifact with “1, T, Discard a card, Sacrifice this token: Draw a card.”)\n 3B, T, Sacrifice this artifact: Return up to two target creature cards from your graveyard to your hand.					
Dimir Signet	2	Artifact	1, T: Add UB.					
Golgari Signet	2	Artifact	1, T: Add BG.					
Rakdos Signet	2	Artifact	1, T: Add BR.					
Talisman of Creativity	2	Artifact	T: Add C.\n T: Add U or R. This artifact deals 1 damage to you.					
Talisman of Dominance	2	Artifact	T: Add C.\n T: Add U or B. This artifact deals 1 damage to you.					
Talisman of Indulgence	2	Artifact	T: Add C.\n T: Add B or R. This artifact deals 1 damage to you.					
The Indomitable	2UU	Legendary Artifact — Vehicle 	Trample\n Whenever a creature you control deals combat damage to a player, draw a card.\n Crew 3\n You may cast this card from your graveyard as long as you control three or more tapped Pirates and/or Vehicles.		6	6		
Admiral Beckett Brass	1UBR	Legendary Creature — Human Pirate 	Other Pirates you control get +1/+1.\n At the beginning of your end step, gain control of target nonland permanent controlled by a player who was dealt combat damage by three or more Pirates this turn.		3	3		
Admiral Brass, Unsinkable	2UBR	Legendary Creature — Human Pirate 	When this creature enters, mill four cards.\n At the beginning of combat on your turn, you may return target Pirate creature card from your graveyard to the battlefield with a finality counter on it. It has base power and toughness 4/4. It gains haste until end of turn. (If a creature with a finality counter on it would die, exile it instead.)		3	3		
Breeches, Brazen Plunderer	3R	Legendary Creature — Goblin Pirate 	Menace\n Whenever one or more Pirates you control deal damage to your opponents, exile the top card of each of those opponents’ libraries. You may play those cards this turn, and you may spend mana as though it were mana of any color to cast those spells.\n Partner (You can have two commanders if both have partner.)		3	3		
Breeches, Eager Pillager	2R	Legendary Creature — Goblin Pirate 	First strike\n Whenever a Pirate you control attacks, choose one that hasn’t been chosen this turn —\n • Create a Treasure token.\n • Target creature can’t block this turn.\n • Exile the top card of your library. You may play it this turn.					
Broadside Bombardiers	2R	Creature — Goblin Pirate 	Menace, haste\n Boast — Sacrifice another creature or artifact: This Creature deals damage equal to 2 plus the sacrificed permanent’s mana value to any target. (Activate only if this creature attacked this turn and only once each turn.)		2	2		
Captain Lannery Storm	2R	Legendary Creature — Human Pirate 	Haste\n Whenever this creature attacks, create a Treasure token.\n Whenever you sacrifice a Treasure, this creature gets +1/+0 until end of turn.		2	2		
Captain Storm, Cosmium Raider	UR	Legendary Creature — Human Pirate 	Whenever an artifact you control enters, put a +1/+1 counter on target Pirate you control.		2	2		
Captain Vargus Wrath	UR	Legendary Creature — Orc Pirate 	Whenever Captain Vargus Wrath attacks, Pirates you control get +1/+1 until end of turn for each time you’ve cast a commander from the command zone this game.		1	1		
Captivating Crew	3R	Creature — Human Pirate 	3R: Gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn. Activate only as a sorcery.		4	3		
Changeling Outcast	B	Creature — Shapeshifter 	Changeling (This card is every creature type.)\n this creature can’t block and can’t be blocked.		1	1		
Charred Graverobber	2B	Creature — Skeleton Mercenary 	When this creature enters, return target outlaw card from your graveyard to your hand.\n Escape—3BB, Exile four other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)\n This creature escapes with a +1/+1 counter on it.		3	1		
Coercive Recruiter	4R	Creature — Orc Pirate 	Whenever this creature or another Pirate you control enters, gain control of target creature until end of turn. Untap that creature. Until end of turn, it gains haste and becomes a Pirate in addition to its other types.		4	3		
Corsair Captain	2U	Creature — Human Pirate 	When this creature enters, create a Treasure token. (It’s an artifact with “T, Sacrifice this token: Add one mana of any color.”)\n Other Pirates you control get +1/+1.		2	2		
Cutthroat Negotiator	2UR	Creature — Orc Pirate 	Parley — Whenever this creature attacks, each player reveals the top card of their library. For each nonland card revealed this way, you create a tapped Treasure token. Then each player draws a card.		4	3		
Enterprising Scallywag	1R	Creature — Goblin Pirate 	At the beginning of your end step, if you descended this turn, create a Treasure token. (You descended if a permanent card was put into your graveyard from anywhere this turn.)		2	2		
Gemcutter Buccaneer	3R	Creature — Orc Pirate Artificer 	Whenever this creature or another Pirate you control enters, create a tapped Treasure token.\n Treasures you control are Equipment in addition to their other types and have “Equipped creature gets +2/+0,” equip Pirate 1, and equip 3.		1	3		
Graywater's Fixer	2BR	Creature — Lizard Mercenary 	Each outlaw creature card in your graveyard has encore X, where X is its mana value. (X, Exile this card from your graveyard: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.)		4	4		
Hellspur Posse Boss	2RR	Creature — Lizard Rogue 	Other outlaws you control have haste. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.)\n When this creature enters, create two 1/1 red Mercenary creature tokens with “T: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.”		2	4		
